Code;Name;Degree
01;Physical and mathematical sciences
01.01.00;Mathematics
01.01.01;Mathematical analysis;physical and mathematical
01.01.02;Differential equations;physical and mathematical
01.01.03;Mathematical physics;physical and mathematical
01.01.04;Geometry and topology;physical and mathematical
01.01.05;Probability theory and mathematical statistics;physical and mathematical
01.01.06;Algebra and number theory;physical and mathematical
01.01.07;Computational mathematics;physical and mathematical
01.01.08;Mathematical logic, theory of computation and discrete mathematics;physical and mathematical
01.01.09;Calculus of variations and optimal control theory;physical and mathematical
01.01.10;Operations research and game theory;physical and mathematical
01.02.00;Mechanics
01.02.01;Analytical mechanics;physical and mathematical
01.02.04;Solid mechanics;physical and mathematical/technical
01.02.05;Fluid mechanics;physical and mathematical/technical
13;Pedagogical sciences
13.00.04;Theory and methodology of professional education;pedagogical
