Code;Name;Degree
01;Фізико-математичні науки
01.01.00;Математика
01.01.01;Математичний аналіз;фізико-математичні
01.01.02;Диференціальні рівняння;фізико-математичні
01.01.03;Математична фізика;фізико-математичні
01.01.04;Геометрія та топологія;фізико-математичні
01.01.05;Теорія ймовірностей і математична статистика;фізико-математичні
01.01.06;Алгебра та теорія чисел;фізико-математичні
01.01.07;Обчислювальна математика;фізико-математичні
01.01.08;Математична логіка, теорія алгоритмів і дискретна математика;фізико-математичні
01.01.09;Варіаційне числення та теорія оптимального керування;фізико-математичні
01.01.10;Дослідження операцій та теорія ігор;фізико-математичні
01.02.00;Механіка
01.02.01;Теоретична механіка;фізико-математичні
01.02.04;Механіка деформівного твердого тіла;фізико-математичні/технічні
01.02.05;Механіка рідини, газу та плазми;фізико-математичні/технічні
13;Педагогічні науки
13.00.04;Теорія і методика професійної освіти;педагогічні
